PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_req=1 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=2 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=3 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=4 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=5 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=6 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=7 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=8 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=10 ttl=52 time=221 ms
64 bytes from 8.8.8.8: icmp_req=9 ttl=52 time=234 ms
64 bytes from 8.8.8.8: icmp_req=11 ttl=52 time=211 ms
64 bytes from 8.8.8.8: icmp_req=12 ttl=52 time=203 ms
64 bytes from 8.8.8.8: icmp_req=13 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=14 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=15 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=16 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=17 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=18 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=19 ttl=52 time=201 ms
64 bytes from 8.8.8.8: icmp_req=20 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=21 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=22 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=23 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=24 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=25 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=26 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=27 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=28 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=29 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=30 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=31 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=32 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=33 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=34 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=35 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=36 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=37 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=38 ttl=52 time=201 ms
64 bytes from 8.8.8.8: icmp_req=39 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=40 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=41 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=42 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=43 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=44 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=45 ttl=52 time=201 ms
64 bytes from 8.8.8.8: icmp_req=46 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=47 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=48 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=49 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=50 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=51 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=52 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=53 ttl=52 time=200 ms
64 bytes from 8.8.8.8: icmp_req=54 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=55 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=56 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=57 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=58 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=59 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=60 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=61 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=62 ttl=52 time=197 ms
64 bytes from 8.8.8.8: icmp_req=63 ttl=52 time=198 ms
64 bytes from 8.8.8.8: icmp_req=64 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=65 ttl=52 time=199 ms
64 bytes from 8.8.8.8: icmp_req=66 ttl=52 time=200 ms
